Final costs

Price for 30 days in dollars
Transport,43692.3
Accommodation,790192
Makeup,38044.9
Food and drink,338160
Rent space,62820.5
Total cost,2.53999e+06

Price for 45 days in dollars
Transport,43692.3
Accommodation,1.18529e+06
Makeup,57067.3
Food and drink,507240
Rent space,94444.4
Total cost,3.81019e+06

Price for 60 days in dollars
Transport,43692.3
Accommodation,1.58038e+06
Makeup,76089.7
Food and drink,676321
Rent space,125641
Total cost,5.07997e+06

Price for 100 days in dollars
Transport,43692.3
Accommodation,2.63397e+06
Makeup,126816
Food and drink,1.1272e+06
Rent space,209402
Total cost,8.46662e+06
