Costuri finale

Pret pentru 30 de zile in dolari
Transport,43692.3
Cazare,790192
Machiaj,38044.9
Mancare si bautura,338160
Inchiriere spatiu,62820.5
Cost total,2.53999e+06

Pret pentru 45 de zile in dolari
Transport,43692.3
Cazare,1.18529e+06
Machiaj,57067.3
Mancare si bautura,507240
Inchiriere spatiu,94444.4
Cost total,3.81019e+06

Pret pentru 60 de zile in dolari
Transport,43692.3
Cazare,1.58038e+06
Machiaj,76089.7
Mancare si bautura,676321
Inchiriere spatiu,125641
Cost total,5.07997e+06

Pret pentru 100 de zile in dolari
Transport,43692.3
Cazare,2.63397e+06
Machiaj,126816
Mancare si bauturi,1.1272e+06
Inchiriere spatiu,209402
Cost total,8.46662e+06
