Meniu pentru persoanele fara restrictii
Ziua 1,,Ziua 2,,Ziua 3
Supa de pui cu taitei,,Supa japoneza de ramen,,Supa de carne de vita cu rosii
Chilli con carne,,Reteta pentru chilli con carne,,Paste de pui la cuptor
Brownie-uri cu ciocolata si nuci prajite,,Tort de trufe de ciocolata si miere de albine,,Prajitura de lamaie
,,,,
Meniu pentru vegetarieni
Ziua 1,,Ziua 2,,Ziua 3
Supa de rosii si ardei,,Supa de morcovi prajiti si pastarnac,,Supa de dovleac indiana
Placinte cu linte si piure de legume,,Curry de dovleac indian,,Risotto de ciuperci si grau
Pudine de pere cu caramel,,Tort de capsuni si mere,,Blondie cu zmeura
,,,,
Meniu pentru flexitarieni
Ziua 1,,Ziua 2,,Ziua 3
Supa de linte rosie cu ghimbir,,Supa de morcovi si caju,,Supa fina de dovleac cu condimente chinezesti cinci condimente
Cuptor de curry de cocos si sesame negru,,Slideri de fasole ochi negri cu pico de gallo,,Orecchiette de conopida prajita si menta
Briosa cu crumble de mere,,Budinca de chia cu rubarba si fragi,,Sorbet de ghimbir cu mango si portocale
,,,,
