Tim Burton,director,none,none
James Marshall,director,none,none
Gandja Monteiro,director,none,none
Charles Addams,writer,none,none
Alfred Gough,writer,none,none
Miles Millar,writer,none,none
Kayla Alpert,writer,none,none
April Blair,writer,none,none
Matt Lambert,writer,none,none
Jenna Ortega,actor/actress main,clairvoyance,none
Gwendoline Christie,actor/actress main,human,none
Riki Lindhome,actor/actress main,human,none
Emma Myers,actor/actress main,werewolf,none
Joy Sunday,actor/actress main,siren,none
Naomi J. Ogawa,actor/actress main,vampire,none
Christina Ricci,actor/actress main,human,none
Jamie McShane,actor/actress main,human,none
Hunter Doohan,actor/actress main,human,none
Percy Hynes White,actor/actress main,human,none
Georgie Farmer,actor/actress main,human,none
Johnna Dias-Watson,actor/actress,siren,none
Oliver Watson,actor/actress,siren,none
Victor Dorobantu,actor/actress,human,none
Moosa Mostafa,actor/actress main,human,none
Daniel Himschoot,actor/actress,human,none
Luyanda Unati Lewis-Nyawo,actor/actress,human,none
Iman Marson,actor/actress,human,none
Calum Ross,actor/actress,human,none
Cezar Grumazescu,actor/actress,human,none
Tommie Earl Jenkins,actor/actress,human,none
Catherine Zeta-Jones,actor/actress,clairvoyance,none
Morgan Beale,actor/actress,human,none
George Burcea,actor/actress,human,none
Islam Bouakkaz,actor/actress,human,none
William Houston,actor/actress,human,none
Karina Varadi,actor/actress,clairvoyance,none
Rina Mahoney,actor/actress,human,none
Georgia Goodman,actor/actress,human,none
Murray McArthur,actor/actress,human,none
Fred Armisen,actor/actress,human,none
Luis Guzman,actor/actress,human,none
Olimpia Malai,actor/actress,human,none
Isaac Ordonez,actor/actress,human,none
Nitin Ganatra,actor/actress,human,none
Lucius Hoyos,actor/actress,human,none
Cheherezade Valentine Okotaka Ebale,actor/actress,human,none
Oliver Wickham,actor/actress,human,none
Edward Kennedy,actor/actress,vampire,none
Ismail Kesu,actor/actress,human,none
Caroline Lawrie,actor/actress,human,none
Lachele Carl,actor/actress,human,none
Gwen Jones,actor/actress,clairvoyance,none
Lisa O'Hare,actor/actress,human,none
Sophia Nomvete,actor/actress,human,none
Ichiro Yuki,actor/actress,vampire,none
Amanda Drew,actor/actress,werewolf,none
Ryan Ellsworth,actor/actress,werewolf,none
Gloria Garcia,actor/actress,human,none
Gracy Goldman,actor/actress,siren,none
Lewis Hayes,actor/actress,human,none
Philip Rosch,actor/actress,human,none
Michael Okele,actor/actress,human,none
Chloe Cate,actor/actress,human,none
Kayla Alpert,executive producer,none,none
Gail Berman,executive producer,none,none
Tim Burton,executive producer,none,none
Jonathan Glickman,executive producer,none,none
Carla Gonz�lez Vargas,co-executive producer,none,none
Alfred Gough,executive producer,none,none
Tommy Harper,executive producer,none,none
Nick Iannelli,co-producer,none,none
Kevin Lafferty,executive producer,none,none
Miles Millar,executive producer,none,none
David Minkowski,co-executive producer,none,none
Kevin Miserocchi,executive producer,none,none
Andrew Mittman,executive producer,none,none
Carmen Pepelea,producer,none,none
Steve Stark,executive producer,none,none
Natalie Testa,associate producer,none,none
Todd Williams,co-executive producer,none,none
Chris Bacon,music,none,none
Danny Elfman,music,none,none
Stephan Pehrsson,cinematography,none,none
David Lanzenberg,cinematography,none,none
Ana Yavari,film editing,none,none
Jay Prychidny,film editing,none,none
Paul G. Day,film editing,none,none
Florina Fernandes,casting,none,none
Sophie Holland,casting,none,none
John Papsidera,casting,none,none
Mark Scruton,production design,none,none
Adrian Curelea,supervising art director,none,none
Ghinea Diana,art direction,none,none
Silvia Nancu,art direction,none,none
Andrei-Florian Popa,assistant art director / additional standby art director,none,none
Serban Porupca,senior art director (8 episodes 2022),none,none
Vlad Roseanu,on-set art director / art director (8 episodes 2022),none,none
Roxana Alexandru,art direction (3 episodes 2022),none,none
Carmen Ratoi,art direction (3 episodes 2022),none,none
Laurentiu Zarnoianu,set direction (8 episodes 2022),none,none
David Morison,set direction (4 episodes 2022),none,none
Rob Hepburn,set direction (4 episodes 2022),none,none
Colleen Atwood,costume design (8 episodes 2022),none,none
Bianca Boeroiu,makeup artist (8 episodes 2022),none,none
Catalin Ciutu,hair stylist supervisor: crowd (8 episodes 2022),none,none
Natalie L Costello,special makeup effects artist (8 episodes 2022),none,none
Julian Hutcheson,special makeup effects artist (8 episodes 2022),none,none
Nirvana Jalalvand,hair & makeup artist: main team (8 episodes 2022),none,none
Grace McComisky,prosthetic artist / prosthetic makeup artist (8 episodes 2022),none,none
Tara McDonald,hair & makeup designer (8 episodes 2022),none,none
Dominic Mombrun,dental effects designer & fabricator (8 episodes 2022),none,none
Angela Ruiz Morales,prosthetics artist (8 episodes 2022),none,none
Paraschiv Oana,makeup artist (8 episodes 2022),none,none
Alexandru Sassu,assistant makeup artist (8 episodes 2022),none,none
Bas Schwarz,special effects makeup artist: mouldmaker & props (8 episodes 2022),none,none
Rub�n Serra,special makeup effects artist (8 episodes 2022),none,none
Margo Stefan,hair stylist (8 episodes 2022),none,none
Viktoria Stieber,prosthetic makeup artist (8 episodes 2022),none,none
Sinead Sweeney,SFX contact lens coordinator (8 episodes 2022),none,none
Iuliana Temelie,hair stylist (8 episodes 2022),none,none
Clara Tudose,hair & makeup artist (8 episodes 2022),none,none
Raquel �lvarez,prosthetic makeup sculptor (8 episodes 2022),none,none
Freda Ellis,makeup supervisor (6 episodes 2022),none,none
Ripley Dale-Gulston,junior hair & makeup artist (6 episodes 2022),none,none
Olimpia Stoicea,hair & makeup artist: main team (6 episodes 2022),none,none
Tia Costell,junior hair & makeup artist (4 episodes 2022),none,none
Susan Cole,personal hair stylist: Luis Guzman (4 episodes 2022),none,none
Jean Carlos de Blas,key hair & makeup artist (4 episodes 2022),none,none
Gabriella Havens,makeup artist (3 episodes 2022),none,none
Sheherezada Kouchaki,makeup artist (4 episodes 2022),none,none
Raluca Moldoveanu,makeup artist (4 episodes 2022),none,none
Andrea Dardea Tesdall,special makeup effects artist (3 episodes 2022),none,none
Nicoleta Toader,hair stylist: cast (4 episodes 2022),none,none
Natalie Fox,additional hair & makeup artist (2 episodes 2022),none,none
Niki De Jong,prosthetic makeup artist (1 episode 2022),none,none
Ionel Popa,special makeup effects artist (1 episode 2022),none,none
Athina Sapanidis,prosthethic makeup artist (1 episode 2022),none,none
Razvan Badea,unit production manager / production manager (8 episodes 2022),none,none
Irene Iovan Calangiu,health & safety unit production manager: covid (8 episodes 2022),none,none
Alexandru Cseh,production manager: second unit (8 episodes 2022),none,none
Emma Mallett,unit production manager: additional photography (1 episode 2022),none,none
Alexandru Acsinte,assistant director (8 episodes 2022),none,none
Emilie Balusson,second second assistant director / co-second assistant director (8 episodes 2022),none,none
Bianca Bumbacea,assistant director (8 episodes 2022),none,none
Simona Dinu,second assistant director (8 episodes 2022),none,none
Mariana Grama,crowd second assistant director (8 episodes 2022),none,none
Mircea Hategan,first assistant director (8 episodes 2022),none,none
Stefania Ispas,trainee assistant director (8 episodes 2022),none,none
Loyzo,third assistant director (8 episodes 2022),none,none
Raphael Tudor,third assistant director (8 episodes 2022),none,none
Costin Sforaru,assistant director (7 episodes 2022),none,none
Sabina Balan,crowd first assistant director (6 episodes 2022),none,none
Brett Chan,second unit director (6 episodes 2022),none,none
Ada Dumitru,cast assistant (6 episodes 2022),none,none
Emyr Glyn Rees,second assistant director / first assistant director (6 episodes 2022),none,none
Jessica Kirec,second assistant director (4 episodes 2022),none,none
George Walker,first assistant director (4 episodes 2022),none,none
Richard O'Brien-Moran,first assistant director (2 episodes 2022),none,none
Mihaela Ionita,second assistant director (2 episodes 2022),none,none
Alexandra Popa,crowd second assistant director (1 episode 2022),none,none
Alexandru Trandafira,crowd assistant director (2 episodes 2022),none,none
Sucioaia Alexandra,set dressing painter (8 episodes 2022),none,none
Tache Alexandru,graphic designer (8 episodes 2022),none,none
Corneliu Mihai Bonciu,sculptor (8 episodes 2022),none,none
Rachel Garlick,storyboard artist (8 episodes 2022),none,none
Florin Gavrila,lead set dressing painter (8 episodes 2022),none,none
Adi Handac,property master (8 episodes 2022),none,none
Dana Ilie,art department manager (8 episodes 2022),none,none
Alexandru Titus Ipate,action vehicles supervisor (8 episodes 2022),none,none
Simona Maican,art department coordinator (8 episodes 2022),none,none
Cristian Mihaila,assistant set decorator / set decoration buyer (8 episodes 2022),none,none
Cosmin Miroiu,head of greenery (8 episodes 2022),none,none
Amalia Mititelu,set dressing painter (8 episodes 2022),none,none
Pietro Nume,concept artist (8 episodes 2022),none,none
Iulia Petrescu,assistant set decorator (8 episodes 2022),none,none
Madalina Ripanu,clearance coordinator (8 episodes 2022),none,none
